Analysis,ICPMS_connect,Sample,Mica_type,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,LiO2,Cl,F ,Total,"O=F,Cl_Wt%",Volatitle TOTAL_Wt%,SiO2_Mol Prop,TiO2_Mol Prop,Al2O3_Mol Prop,FeO_Mol Prop,MnO_Mol Prop,MgO_Mol Prop,CaO_Mol Prop,Na2O_Mol Prop,K2O_Mol Prop,LiO2_Mol Prop,Cl_Mol Prop,F_Mol Prop,SiO2_At Prop O,TiO2_At Prop O,Al2O3_At Prop O,FeO_At Prop O,MnO_At Prop O,MgO_At Prop O,CaO_At Prop O,Na2O_At Prop O,K2O_At Prop O,LiO2_At Prop O,Cl_At Prop O,F_At Prop O,Total_At Prop O,SiO2_No Anions,TiO2_No Anions,Al2O3_No Anions,FeO_No Anions,MnO_No Anions,MgO_No Anions,CaO_No Anions,Na2O_No Anions,K2O_No Anions,LiO2_No Anions,Cl_No Anions,F_No Anions,Total_No Anions,Si_,Ti_,Al_,Fe(ii)_,Mn_,Mg_,Ca_,Na_,K_,Li_,Cl_,F_,TOTAL_,Si_APFU,Al (IV)_APFU,Al (VI)_APFU,Ti_APFU,Fe(ii)_APFU,Mn_APFU,Mg_APFU,Ca_APFU,Na_APFU,K_APFU,Li_APFU,Cl_APFU,F_APFU,TOTAL_APFU,OH_APFU,XMg_APFU,Xsid_APFU,Xan_APFU,F/(F + OH)_APFU
01A02C_5,01A02C_t_ms-12,01A02C,5,44.5523,0.3905,32.5425,2.3908,0.0694,2.2589,0,0.3363,10.1334,1.56628957,0.0001,0.8649,93.6477,0.364,93.284,0.742,0.005,0.319,0.033,0.001,0.056,0,0.005,0.108,0.04,0,0.046,1.483,0.01,0.958,0.033,0.001,0.056,0,0.005,0.108,0.08,0,0.046,2.757,11.835,0.078,7.641,0.266,0.008,0.447,0,0.043,0.858,0.642,0,0.363,7.98,5.918,0.039,5.094,0.266,0.008,0.447,0,0.087,1.717,0.321,0,0.363,13.896,5.918,2.082,3.011,0.039,0.266,0.008,0.447,0,0.087,1.717,0.321,0,0.363,13.896,3.637,0.118610251,0.925868714,-0.044478965,0.090814843
01A02C_6,01A02C_t_ms-11,01A02C,5,45.6126,0.4113,31.4643,2.1834,0.1228,2.3736,0,0.4289,9.4057,1.557327891,0,0.9259,93.002,0.39,92.612,0.759,0.005,0.309,0.03,0.002,0.059,0,0.007,0.1,0.04,0,0.049,1.518,0.01,0.926,0.03,0.002,0.059,0,0.007,0.1,0.08,0,0.049,2.757,12.118,0.082,7.388,0.243,0.014,0.47,0,0.055,0.797,0.638,0,0.389,7.981,6.059,0.041,4.926,0.243,0.014,0.47,0,0.11,1.594,0.319,0,0.389,13.776,6.059,1.941,2.985,0.041,0.243,0.014,0.47,0,0.11,1.594,0.319,0,0.389,13.776,3.611,0.125276021,0.884676159,-0.00995218,0.097229275
01A02C_9,01A02C_t_ms-1,01A02C,5,45.2622,0.291,32.6666,2.0218,0.1127,2.3216,0,0.5406,9.3351,1.0195048,0,0.7915,93.3975,0.333,93.064,0.753,0.004,0.32,0.028,0.002,0.058,0,0.009,0.099,0.026,0,0.042,1.507,0.007,0.961,0.028,0.002,0.058,0,0.009,0.099,0.052,0,0.042,2.744,12.082,0.058,7.707,0.226,0.013,0.462,0,0.07,0.795,0.42,0,0.334,8.019,6.041,0.029,5.138,0.226,0.013,0.462,0,0.14,1.589,0.21,0,0.334,13.848,6.041,1.959,3.179,0.029,0.226,0.013,0.462,0,0.14,1.589,0.21,0,0.334,13.848,3.666,0.118177003,0.919255707,-0.037432709,0.083512424
01A02C_10,01A02C_t_ms-2,01A02C,5,45.4297,0.3617,32.2849,1.9933,0.0852,2.2539,0,0.4493,9.3064,0.972524708,0,0.8573,93.027,0.361,92.666,0.756,0.005,0.317,0.028,0.001,0.056,0,0.007,0.099,0.025,0,0.045,1.512,0.009,0.95,0.028,0.001,0.056,0,0.007,0.099,0.05,0,0.045,2.735,12.166,0.073,7.642,0.223,0.01,0.45,0,0.058,0.795,0.402,0,0.363,8.045,6.083,0.036,5.095,0.223,0.01,0.45,0,0.117,1.59,0.201,0,0.363,13.804,6.083,1.917,3.178,0.036,0.223,0.01,0.45,0,0.117,1.59,0.201,0,0.363,13.804,3.637,0.115459289,0.912837671,-0.02829696,0.09074643
01A02C_15,01A02C_t_ms-9,01A02C,5,45.0287,0.3935,32.7234,1.94,0.0791,2.167,0,0.5148,9.7522,1.58106583,0.0014,0.9272,93.5273,0.391,93.137,0.749,0.005,0.321,0.027,0.001,0.054,0,0.008,0.104,0.041,0,0.049,1.499,0.01,0.963,0.027,0.001,0.054,0,0.008,0.104,0.081,0,0.049,2.771,11.901,0.078,7.644,0.214,0.009,0.427,0,0.066,0.822,0.645,0,0.387,7.939,5.95,0.039,5.096,0.214,0.009,0.427,0,0.132,1.644,0.322,0,0.387,13.834,5.95,2.05,3.047,0.039,0.214,0.009,0.427,0,0.132,1.644,0.322,0,0.387,13.834,3.612,0.114274587,0.927421162,-0.041695749,0.096868417
01A02C_16,01A02C_t_ms-8,01A02C,5,44.8429,0.3733,32.8791,2.0932,0.0917,2.0839,0,0.3872,10.0212,1.627886609,0,0.9363,93.7644,0.394,93.37,0.746,0.005,0.322,0.029,0.001,0.052,0,0.006,0.106,0.042,0,0.049,1.493,0.009,0.967,0.029,0.001,0.052,0,0.006,0.106,0.084,0,0.049,2.773,11.845,0.074,7.676,0.231,0.01,0.41,0,0.05,0.844,0.663,0,0.391,7.935,5.923,0.037,5.118,0.231,0.01,0.41,0,0.099,1.688,0.332,0,0.391,13.848,5.923,2.077,3.04,0.037,0.231,0.01,0.41,0,0.099,1.688,0.332,0,0.391,13.848,3.609,0.110035176,0.937110617,-0.047145793,0.097756445
01A02C_17,01A02C_t_ms-8,01A02C,5,45.1919,0.3616,32.8204,1.883,0.0602,2.154,0,0.5664,9.7685,1.627886609,0,0.8966,93.7627,0.378,93.385,0.752,0.005,0.322,0.026,0.001,0.053,0,0.009,0.104,0.042,0,0.047,1.504,0.009,0.966,0.026,0.001,0.053,0,0.009,0.104,0.084,0,0.047,2.78,11.907,0.072,7.643,0.207,0.007,0.423,0,0.072,0.821,0.662,0,0.373,7.915,5.953,0.036,5.095,0.207,0.007,0.423,0,0.145,1.641,0.331,0,0.373,13.839,5.953,2.047,3.049,0.036,0.207,0.007,0.423,0,0.145,1.641,0.331,0,0.373,13.839,3.627,0.113667069,0.92766806,-0.041335129,0.093371309
01A02C_20,01A02C_t_ms-16,01A02C,6,36.2063,1.5975,18.9959,15.5107,0.7741,9.1908,0,0.0811,8.823,5.102833998,0,1.4774,92.7492,0.622,92.127,0.603,0.02,0.186,0.216,0.011,0.228,0,0.001,0.094,0.131,0,0.078,1.205,0.04,0.559,0.216,0.011,0.228,0,0.001,0.094,0.262,0,0.078,2.655,9.987,0.331,4.631,1.789,0.09,1.89,0,0.011,0.776,2.172,0,0.644,8.286,4.994,0.166,3.088,1.789,0.09,1.89,0,0.022,1.552,1.086,0,0.644,14.676,4.994,3.006,0.081,0.166,1.789,0.09,1.89,0,0.022,1.552,1.086,0,0.644,14.676,3.356,0.470564964,0.418310139,0.111124897,0.16108189
01A02C_28,01A02C_t_ms-14,01A02C,5,45.448,0.3306,28.3242,2.1066,0.0762,2.244,0,0.5058,9.2467,1.597610874,0.0094,0.9764,89.3285,0.413,88.915,0.756,0.004,0.278,0.029,0.001,0.056,0,0.008,0.098,0.041,0,0.051,1.513,0.008,0.833,0.029,0.001,0.056,0,0.008,0.098,0.082,0,0.051,2.655,12.537,0.069,6.906,0.243,0.009,0.461,0,0.068,0.813,0.68,0.002,0.426,8.287,6.269,0.034,4.604,0.243,0.009,0.461,0,0.135,1.627,0.34,0.002,0.426,13.722,6.269,1.731,2.873,0.034,0.243,0.009,0.461,0,0.135,1.627,0.34,0.002,0.426,13.722,3.572,0.127459976,0.816932089,0.055607935,0.106520476
01A02C_29,01A02C_t_ms-15,01A02C,5,44.5777,0.3224,28.6519,1.9903,0.1034,1.9742,0,0.3845,9.3822,1.66326,0.0113,0.7713,88.1883,0.327,87.861,0.742,0.004,0.281,0.028,0.001,0.049,0,0.006,0.1,0.043,0,0.041,1.484,0.008,0.843,0.028,0.001,0.049,0,0.006,0.1,0.085,0,0.041,2.625,12.437,0.068,7.066,0.232,0.012,0.411,0,0.052,0.835,0.716,0.003,0.34,8.381,6.219,0.034,4.71,0.232,0.012,0.411,0,0.104,1.67,0.358,0.003,0.34,13.75,6.219,1.781,2.929,0.034,0.232,0.012,0.411,0,0.104,1.67,0.358,0.003,0.34,13.75,3.657,0.113482862,0.850963746,0.035553392,0.085116291
